gene	1	2	3	4	5	15	16	17	18	19	20	21	22	24	25	26	27	23	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
SMU.01	2649	2664	2069	1682	2453	1829	2249	1864	2121	3254	3536	2237	2075	2656	2001	1707	1861	2404	2285	4800	3892	3825	3400	3914	4648	2477	2957	2322	2999	2708	2013	644	3710	2036	1574	747	854	783	1929	2103	768	116	1715	1891	991	1483
SMU.02	2115	2564	1990	1193	2526	1602	2130	1897	2166	3019	3151	1767	1713	1849	1357	1123	974	2401	2331	3793	3037	2844	2634	4216	4874	2996	3424	2786	3701	3340	2104	1692	4121	2822	1320	521	648	805	1685	2019	626	443	1519	1552	816	1086
SMU.05	381	426	245	264	401	308	396	305	317	446	506	248	213	304	201	209	211	302	250	557	446	479	479	470	623	242	297	258	337	329	270	172	581	361	119	61	73	92	215	228	96	52	171	402	190	285
SMU.06	6560	6016	3601	5457	6851	7506	8147	6919	5904	6108	6631	6417	5911	8125	6521	5013	5672	5223	5058	19379	16601	16287	14122	12379	14241	6507	8132	6684	8377	7535	4045	3321	8043	5646	4200	2238	2816	1346	3359	3657	2301	1643	4701	4261	2500	3944
SMU.07	1386	1513	741	946	1233	1310	1674	1422	1543	1614	1900	868	933	1558	1261	783	832	1132	963	2476	2166	1984	1853	2079	2367	814	854	676	894	889	694	143	1326	410	439	214	268	181	492	559	181	33	426	452	264	470
SMU.08	8447	9722	5954	3176	5950	6304	7519	6983	6410	10137	10779	5343	5149	8609	6553	4297	3706	7281	6134	11100	9522	9087	8060	12930	14066	3852	3857	2762	3590	3802	3655	598	7001	2052	2204	1131	1443	698	1784	2107	691	165	2000	1400	879	1534
SMU.09	3246	2847	1883	1431	2137	2195	2520	2282	2336	3569	3834	2667	2357	2711	2002	1998	1790	2918	2210	4047	3404	3427	2781	3291	3866	302	266	139	231	232	1123	56	2225	136	705	418	393	98	400	450	210	30	591	249	157	349
SMU.10	2723	2587	1431	610	1977	1899	2738	2245	2132	3219	3706	2173	1922	2226	1491	1609	1431	3274	2440	2803	2317	2160	1843	4087	4709	360	289	178	232	322	1181	62	2275	144	500	331	295	76	322	343	150	23	499	181	111	266
SMU.11	1081	832	109	21	692	634	1035	895	927	880	913	236	187	238	240	201	128	1028	804	212	147	156	148	1488	1625	128	104	64	94	112	437	23	739	63	46	32	36	11	48	45	28	6	114	52	21	57
SMU.12	6034	6048	4032	2579	4909	5000	6272	5569	5382	7266	7663	5362	4749	5492	4184	3763	3617	5925	5308	9820	8370	8051	7145	9532	10934	1904	1746	1169	1407	1587	3370	671	6397	1156	1622	913	1082	481	1375	1585	575	155	1736	987	593	1028
SMU.13	3901	3879	2165	1796	3559	3294	4233	4450	3911	4780	5381	3099	2853	3525	2570	2400	2545	4170	3883	4839	4158	3880	3484	6335	7286	2160	2262	1765	2180	2125	1885	521	3773	1354	1027	526	631	419	1132	1391	452	187	1013	1024	548	1078
SMU.14	5634	6566	3044	2407	5740	5364	6881	6243	5209	5653	5871	4804	4461	5153	4196	3690	3616	5764	5684	11651	9575	9452	8288	11213	13540	5691	6911	6234	7933	6396	3453	2020	6334	5006	2245	1323	1482	1033	2716	2902	1501	823	3164	3420	1941	3147
SMU.15	33951	36610	25673	33208	39943	33093	39452	36547	35075	27406	32362	23754	23010	25939	19198	19180	20058	26059	26750	62126	53620	51333	48788	48738	56462	36776	44154	37233	47364	43372	19196	22081	35149	34177	13858	6610	8861	6161	15009	16887	8116	8988	18468	22434	13358	19452
