gene	50	51	52	53	54	55
SMU21_00005	278	97	652	861	450	762
SMU21_00010	452	71	1029	1066	609	1180
SMU21_00015	296	130	739	607	320	625
SMU21_00020	136	42	317	235	148	258
SMU21_00025	95	28	243	207	119	202
SMU21_00030	2	3	10	14	10	12
SMU21_01749	149	89	335	476	229	348
SMU21_01754	447	83	814	1677	1074	1015
SMU21_01759	142	32	270	632	340	304
SMU21_01764	456	257	1147	2737	1333	2376
SMU21_01769	424	170	1015	2568	1228	2191
SMU21_01774	447	240	1099	2703	1411	2339
SMU21_01779	480	493	1149	3347	1747	2804
SMU21_01784	549	485	1111	1888	1037	1600
SMU21_01789	661	773	1501	2139	1297	1729
SMU21_01794	1761	2457	4000	4727	2807	4320
SMU21_01799	904	717	2017	2662	1469	2534
SMU21_01804	755	342	1719	1860	1067	1838
SMU21_01809	838	268	1877	1866	1011	1958
SMU21_01814	417	328	829	1147	710	1111
SMU21_01819	203	48	516	1200	687	1103
SMU21_01824	1941	2378	4133	8371	4701	7228
SMU21_01829	1550	1057	3438	5730	3108	4765
SMU21_01834	129	38	278	373	176	294
SMU21_01839	69	31	180	222	118	135
SMU21_09992	430	432	800	1092	742	1156
SMU21_01844	97	164	179	1177	766	1136
SMU21_01849	74	59	144	210	119	191
SMU21_01854	510	875	975	2580	1352	1940
SMU21_01859	0	0	0	0	0	0
SMU21_01864	142	108	234	574	283	480
SMU21_01869	177	178	380	829	411	644
SMU21_01874	377	387	680	1758	855	1243
SMU21_01879	180	115	289	637	323	474
SMU21_01884	972	1328	1771	4777	2349	3419
SMU21_01889	168	150	272	826	418	599
SMU21_01894	16	30	38	52	31	46
SMU21_01899	672	618	1395	2118	1268	1968
SMU21_01904	1998	2005	4371	6963	3957	6217
SMU21_01909	335	218	791	1407	703	978
SMU21_01914	1031	1003	2194	4163	2393	3478
SMU21_01919	1545	3194	3354	4220	2417	3182
SMU21_01924	27180	25020	61248	73591	47929	70883
SMU21_01929	38	34	76	62	49	65
SMU21_01934	746	536	1630	1034	566	775
SMU21_01941	2078	3566	4327	5031	2903	4178
SMU21_01946	177	139	441	503	240	388
SMU21_01951	357	280	740	1133	653	1072
SMU21_01956	500	579	1064	1999	1078	1808
SMU21_01961	2182	4259	4563	9745	5993	8392
SMU21_01966	132	309	271	500	315	413
SMU21_01971	1016	382	2122	4046	2269	3798
SMU21_01976	561	187	1196	1810	1047	1571
SMU21_01981	755	238	1432	2278	1252	1999
SMU21_01986	1664	659	3388	5026	2897	5107
SMU21_01991	3472	1473	8405	9210	5127	9245
SMU21_01996	1107	925	2322	5314	2618	3371
SMU21_02001	571	461	1325	1123	579	876
SMU21_02006	250	74	551	396	248	459
SMU21_02011	82	29	226	162	96	154
SMU21_02016	2162	2377	4638	7286	4246	6057
SMU21_02021	1883	2170	4004	6233	3670	5187
SMU21_02026	1128	1316	2577	3552	1912	2664
SMU21_02031	32	17	55	56	34	40
SMU21_02036	2032	3081	4348	3369	2225	2825
